Experiment_run,true_energy,hybrid_model_energy,difference
experiment_number_0,-31.88784079412097,-31.88774871826172,9.207585924997375e-05
experiment_number_1,-31.88784079412097,-31.88776206970215,7.872441882028625e-05
experiment_number_2,-31.88784079412097,-31.88775634765625,8.444646471872375e-05
experiment_number_3,-31.88784079412097,-31.88775634765625,8.444646471872375e-05
experiment_number_4,-31.88784079412097,-31.88774871826172,9.207585924997375e-05
experiment_number_5,-31.88784079412097,-31.88776397705078,7.681707018747375e-05
experiment_number_6,-31.88784079412097,-31.88397979736328,0.0038609967576874737
experiment_number_7,-31.88784079412097,-31.88759994506836,0.00024084905260934875
experiment_number_8,-31.88784079412097,-31.887760162353516,8.063176745309875e-05
mymodel,-31.88784079412097,-31.887733459472656,0.00010733464831247375
mymodel,-31.88784079412097,-31.887752532958984,8.826116198434875e-05
model1,-31.88784079412097,-31.88775634765625,8.444646471872375e-05
experiment_number_12,-31.88784079412098,-31.88775634765625,8.444646472938189e-05
